,Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros
112,2021-01-04 00:00:00.000,1-2021,3403434,5002915-15,20247100,1,963543-43,2.0,381.47
14485,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,1,8902753-53,250.0,187.03
14486,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,2,8308591-91,500.0,452.45
14487,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,3,8308621-21,500.0,452.45
14488,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,4,8022921-21,400.0,567.16
14489,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,5,8128704-04,400.0,550.04
14490,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,6,802077-77,300.0,408.27
14491,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,7,888751-51,96.0,107.39
14492,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,8,897001-01,125.0,228.0
14493,2021-01-07 00:00:00.000,1-2021,3403434,5397843-43,20258239,9,8308601-01,200.0,180.98
15314,2021-01-07 00:00:00.000,1-2021,3403434,5340669-69,20203388,1,993081-81,153.0,24374.43
15344,2021-01-07 00:00:00.000,1-2021,3403434,5340672-72,20203383,1,993081-81,128.0,20391.68
22943,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,1,802063-63,560.0,439.1
22944,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,2,8128741-41,2240.0,5325.82
22945,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,3,1199005728-28,576.0,1231.08
22946,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,4,802064-64,1120.0,878.19
22947,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,5,802077-77,960.0,1159.49
22948,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,6,9202962-62,375.0,931.91
22949,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,7,895956-56,560.0,725.93
22950,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,8,897785-85,560.0,676.37
22951,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,9,902126-26,1120.0,1806.0
22952,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,10,9078342-42,240.0,490.2
22953,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,11,927818-18,2160.0,6870.31
22954,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,12,935588-88,560.0,1579.31
22955,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,13,964787-87,560.0,506.41
22956,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,14,964809-09,300.0,546.33
22957,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,15,964859-59,760.0,1191.83
22958,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,16,9672961-61,400.0,773.96
22959,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,17,992668-68,700.0,1416.45
