,Item Code,Conversion Ratio
51,995097-97,0.0242
100,995096-96,0.0242
113,8949591-91,0.0474
131,952547-47,0.0368
276,866370-70,0.04
511,807973-73,0.04
514,830622-22,0.052
651,950359-59,0.07215
1033,952530-30,0.11220000000000001
1231,862275-75,0.0428
1275,862286-86,0.03535
1508,986174-74,18.938200000000002
1520,9646491-91,41.38655
1522,9700921-21,40.52604
1681,862261-61,0.0741
1691,918777-77,0.074
1693,918779-79,15.936
1694,918780-80,9.7782
1695,932210-10,0.752
1700,937946-46,34.93425
1715,503087-87,1.504
1782,991319-19,0.752
1792,952494-94,0.0915
2968,963543-43,56.584
3074,956471-71,0.00086
3075,956472-72,0.00083
3076,956473-73,0.0008900000000000001
3077,956474-74,0.00088
3387,501167-67,1.4
3402,995107-07,12.0
3576,862154-54,0.005
3578,943832-32,0.9
3587,969399-99,1.1
3588,969400-00,0.12
3589,969401-01,1.1
3590,969402-02,1.1
4405,8880283-83,0.085
4787,8729002-02,0.04
5040,828086-86,0.09
5188,8289641-41,0.13
5198,9020801-01,0.16140000000000002
5205,8289662-62,0.158
5227,8418133-33,0.23055
5247,8418203-03,0.23055
5253,8803232-32,0.01601
5283,8757852-52,0.08806
5284,9430251-51,0.25
5285,9430291-91,0.25
5286,9430301-01,0.25
5287,9430311-11,0.25
5299,841841-41,0.168
5301,841842-42,0.168
5304,875709-09,0.017
5306,875710-10,0.017
5308,875711-11,0.032
5311,905470-70,0.032
5312,922648-48,0.373
5313,924628-28,3.855
5314,924629-29,21.717
5316,964796-96,0.06
5317,968570-70,23.513
5324,8155073-73,0.06
5325,9126451-51,0.037
5326,9246351-51,0.037
5327,9291741-41,0.037
5328,9319431-31,0.077
5330,1199001724-24,0.025
5331,1199005728-28,0.054
5370,9329251-51,0.07892
5384,875577-77,0.024
5386,875579-79,0.024
5388,875593-93,0.064
5391,905471-71,0.064
5392,924630-30,4.221
5395,944107-07,0.723
5397,8828421-21,33.087
5398,9126461-61,0.077
5399,9263501-01,0.077
5400,9581501-01,0.058
5402,9581661-61,0.118
5403,9581671-71,0.09
5404,9581681-81,0.172
5406,9581691-91,0.172
5408,9581701-01,0.172
5410,9581711-11,0.172
5474,8757892-92,0.08806
5475,9431931-31,0.25893
5476,9431941-41,0.25893
5478,9431971-71,0.25893
5479,9431981-81,0.25893
5489,8418361-61,0.247
5497,9003561-61,0.037
5500,9003562-62,0.037
5536,8755811-11,0.02
5547,946442-42,0.1827
5555,8575613-13,0.081
5556,8575614-14,0.081
5557,8575624-24,0.109
5569,857600-00,0.055
5580,946800-00,0.03028
5581,946804-04,0.03028
5583,946826-26,1.2973299999999999
5587,968537-37,0.04444
5597,9649051-51,0.019
5656,887776-76,0.019
5661,889987-87,0.019
5682,802078-78,0.019
5685,982867-67,0.15036000000000002
5695,992668-68,0.0215
5715,8922912-12,0.02191
5730,8871292-92,0.02191
5751,8922931-31,0.17493999999999998
5755,926403-03,0.02388
5766,933949-49,0.019
5788,949898-98,0.01445
5798,802077-77,0.019
5805,848217-17,14.435
5806,848267-67,3.27
5809,897785-85,0.019
5815,982866-66,0.15036000000000002
5820,8032232-32,0.019
5823,8223161-61,0.53
5879,902126-26,0.019
5889,946718-18,0.052
5892,950639-39,0.031
5899,951737-37,0.162
5920,999916-16,0.02191
5921,9122751-51,0.044
5998,895956-56,0.0178
6005,918511-11,0.0178
6009,942104-04,0.15530000000000002
6014,918515-15,0.255
6022,992579-79,0.052
6028,9672961-61,0.021
6060,945764-64,0.0916
6062,8297711-11,0.137
6120,857595-95,0.055
6122,861126-26,0.015
6123,861127-27,0.015
6124,861128-28,0.015
6125,861129-29,0.015
6126,861130-30,0.015
6127,861131-31,0.015
6128,861132-32,0.015
6129,861133-33,0.015
6130,861134-34,0.015
6131,947652-52,0.0368
6132,8622242-42,10.4
6133,9226021-21,0.02
6134,9226031-31,0.02
6135,9226051-51,0.02
6185,8957894-94,0.0778
6186,9374012-12,0.109
6201,964912-12,0.0288
6208,964848-48,0.02625
6210,968531-31,0.07179
6218,880336-36,0.017
6224,875582-82,0.017
6232,841800-00,0.185
6234,911748-48,12.87
6235,920293-93,0.0915
6240,937443-43,0.275
6241,937508-08,0.139
6246,946468-68,9.885
6261,9117372-72,0.185
6263,9117533-33,49.55
6267,9246522-22,28.1
6268,9246621-21,0.0915
6269,9319421-21,0.139
6271,9357392-92,42.75
6272,9357393-93,42.75
6273,9375091-91,0.139
6340,875584-84,0.015380000000000001
6347,911750-50,9.573
6348,911752-52,8.66
6349,937513-13,0.109
6350,937515-15,0.146
6365,8290302-02,0.14
6367,8299892-92,1.872
6369,8805374-74,0.0778
6370,8902871-71,0.142
6371,8902881-81,0.206
6374,9117494-94,42.844
6380,9226011-11,0.206
6381,9375141-41,0.109
6382,9375161-61,0.146
6383,82902912-12,0.07712000000000001
6471,939387-87,5.03095
6472,8031246-46,0.019
6473,8031256-56,0.019
6483,9374971-71,0.053829999999999996
6585,8373831-31,0.032
6598,8206444-44,0.017
6605,8206472-72,0.017
6612,892278-78,0.017
6618,892279-79,0.017
6629,892273-73,0.033
6631,920400-00,0.058
6643,880410-10,0.029
6646,921216-16,0.058
6647,924643-43,5.403
6651,8932331-31,0.355
6675,880409-09,0.039
6676,951469-69,0.039
6690,820958-58,0.08059999999999999
6694,921258-58,23.15424
6696,8209591-91,0.08
6705,875586-86,0.029
6707,875588-88,0.018
6708,921215-15,0.058
6735,824755-55,0.032
6737,824758-58,0.064
6741,929120-20,23.4
6743,951344-44,0.064
6744,951345-45,0.064
6745,951473-73,0.054
6746,964859-59,0.054549999999999994
6748,968471-71,0.09097
6749,968483-83,0.054200000000000005
6750,978137-37,22.353
6752,992561-61,0.076
6759,9226071-71,0.076
6855,893133-33,0.0596
6858,9122721-21,0.05965
6933,9213361-61,0.01891
8529,978004-04,0.09824
8531,978035-35,0.1695
8538,942047-47,0.0435
8547,9357101-01,0.0514
8548,9357111-11,0.12
8549,9357121-21,0.05833
8550,9357131-31,0.11166
8556,9357081-81,0.0375
8557,9357091-91,0.095
8573,918526-26,0.022600000000000002
8574,918527-27,0.022600000000000002
8580,918533-33,0.05568
8587,937554-54,0.029
8588,937555-55,0.029
8589,937556-56,0.029
8596,982861-61,0.02271
8598,982862-62,0.02271
8599,982863-63,0.056060000000000006
8676,921342-42,0.05568
8679,929055-55,0.12190000000000001
8685,8957921-21,0.020079999999999997
8714,949871-71,0.0349
8715,949875-75,0.0349
8743,854235-35,0.038
8744,854236-36,0.038
8745,8507322-22,0.148
8760,872720-20,0.2885
8762,872721-21,0.02219
8763,872723-23,0.054759999999999996
8764,872725-25,0.02219
8765,872726-26,0.02219
8766,872729-29,0.2885
8767,872730-30,0.2885
8769,872731-31,0.2885
8771,924710-10,6.6
8774,8803312-12,0.147
8775,8828391-91,36.307
8847,802796-96,0.032
8848,802797-97,0.032
8850,802798-98,0.032
8892,964805-05,0.033299999999999996
8893,964806-06,0.033299999999999996
8894,964809-09,0.0599
8900,968422-22,0.4568
8904,802051-51,0.02759
8905,802052-52,0.02759
8907,802054-54,0.02759
8910,830863-63,0.054759999999999996
8913,830864-64,0.054759999999999996
8915,830865-65,0.054759999999999996
8922,847898-98,0.2885
8945,919390-90,6.6
8967,8308581-81,0.02219
8968,8308591-91,0.02219
8970,8308601-01,0.02219
8972,8308611-11,0.02219
8973,8308621-21,0.02219
8976,8373609-09,0.2885
8980,8373619-19,0.2885
8982,8373629-29,0.2885
8991,8804012-12,0.166
8992,8828361-61,51.927
8993,8828381-81,42.977
8994,9126711-11,0.13419999999999999
9330,997201-01,0.031059999999999997
9331,997202-02,0.031059999999999997
9355,8695976-76,0.0329
9373,989694-94,0.06
9393,951476-76,0.0573
9395,8209012-12,0.15
9397,8209022-22,0.15
9399,8755911-11,0.0573
9400,8755921-21,0.018
9430,8757121-21,0.024
9431,8757131-31,0.024
9432,8757151-51,0.0573
9501,8209153-53,0.27
9503,8755731-31,0.0573
9504,8755761-61,0.024
9535,8209263-63,0.27
9536,8803251-51,0.08391
9537,8803261-61,0.024
9538,8803271-71,0.024
9573,942077-77,0.06720000000000001
9575,8902781-81,0.0263
9587,882840-40,22.467
9588,882864-64,4.02
9589,8803112-12,0.06
9591,8902742-42,0.058
9593,8902764-64,0.027
9595,9440761-61,0.526
9633,942053-53,0.03133
9643,8803323-23,0.077
9645,8902753-53,0.032
9647,8902772-72,0.056
9692,9078342-42,0.078
9703,948726-26,0.07463
9711,927881-81,24.76494
9712,944191-91,0.094
9713,950640-40,0.07437
9715,951341-41,0.193
9722,9049263-63,0.10679999999999999
9726,9226841-41,49.366
9727,9245611-11,0.061700000000000005
9777,893210-10,2.06
9794,8922231-31,0.158
9832,895933-33,0.225
9834,900338-38,0.0253
9887,987868-68,0.103
9890,992669-69,0.198
9911,9202962-62,0.0915
9913,9317812-12,0.138
9924,9262711-11,0.038
9927,927866-66,0.308
9929,927868-68,0.0317
9935,927870-70,0.045899999999999996
9942,927871-71,0.0348
9946,927858-58,0.038200000000000005
9950,992711-11,0.0293
9955,896016-16,0.027399999999999997
9976,950525-25,0.146
10006,9505272-72,0.0778
10025,8297356-56,0.097
10046,8104755-55,0.22876
10057,996713-13,0.019
10058,996774-74,0.04672
10066,996715-15,0.062490000000000004
10068,996714-14,0.03392
10084,905456-56,0.032
10085,927156-56,0.032
10090,9122781-81,0.05
10251,964764-64,0.01988
10252,964765-65,0.01988
10332,893626-26,0.783
10351,944033-33,0.0504
10390,942865-65,0.0737
10494,918463-63,0.02076
10528,882426-26,0.05199
10534,897001-01,0.04304
10541,8830132-32,6.087359999999999
10587,919261-61,0.01694
10613,918470-70,0.05925
10616,9184701-01,0.05925
10628,996725-25,0.22
10667,802063-63,0.022
10669,802064-64,0.0184
10671,802065-65,0.022
10675,802070-70,0.04
10680,844345-45,0.4
10686,889973-73,0.38
10867,921218-18,0.049909999999999996
10868,924593-93,3.6689000000000003
10877,992658-58,0.087
10878,8128704-04,0.02092
10880,8128741-41,0.03392
10881,8129221-21,0.049909999999999996
10888,9245921-21,0.05097
10889,9245941-41,24.898
10890,9271951-51,0.05097
10891,9291861-61,0.075
10892,9460071-71,26.659
10893,9460451-51,0.063
10933,992712-12,0.019
10961,964787-87,0.024210000000000002
10962,964800-00,0.20496
10997,927818-18,0.05689
11002,9292031-31,0.05689
11025,8444743-43,0.024
11026,8481511-11,0.024
11027,8481541-41,0.04
11028,8481542-42,0.04
11036,9126363-63,0.058
11076,924637-37,3.74
11080,935588-88,0.03488
11086,948543-43,0.0487
11088,951444-44,0.0444
11092,968467-67,0.05903
11094,968508-08,0.028
11100,992580-80,0.052
11111,9122741-41,0.044
11112,9203822-22,0.0445
11136,924638-38,4.2126
11189,919289-89,0.01711
11214,922586-86,0.16137
11219,943437-37,0.05568
11221,949869-69,0.0599
11229,964899-99,0.096
11303,951365-65,22.451400000000003
11306,964827-27,0.17
11310,978003-03,24.002200000000002
11365,951367-67,40.004
11409,990157-57,13.86325
11452,920397-97,0.047909999999999994
11454,953017-17,0.075
11459,982898-98,0.05689
11510,841360-60,0.125
11512,841362-62,0.18
11514,875708-08,0.036
11516,920292-92,0.281
11526,8413542-42,50.635
11527,8413543-43,50.635
11529,9202911-11,0.14
11531,500450-50,2.348
11558,950635-35,27.461
11572,951482-82,0.0675
11579,8479004-04,0.02113
11584,8794095-95,0.02113
11586,8794115-15,0.02113
11607,944017-17,0.02615
11614,968503-03,0.04246
11617,993067-67,15.9214
11618,997928-28,0.04246
11619,997929-29,0.04246
11649,964768-68,0.057280000000000005
11658,993061-61,0.061829999999999996
11660,9647621-21,0.1052
11713,996720-20,15.58198
11736,958062-62,0.058
11737,9225881-81,23.15424
11745,918460-60,0.01975
11748,958158-58,0.022
